areaNm,hubTatsNm,hubBsicAdres,hubCtgryLclsNm,hubRank,baseYm,mapX,mapY,areaCd,signguCd,signguNm,hubCtgryMclsNm,formatted_text
서울특별시,송파책박물관,서울 송파구 송파대로37길 770,관광지,24,202502,127.104472452087000,37.498943612839100,11,11710,송파구,문화관광,[지역] 서울특별시 [장소] 송파책박물관 [카테고리] 관광지
서울특별시,도봉튜빙눈썰매장,서울 도봉구 도봉로168길 300,관광지,24,202502,127.047142528633000,37.678394720400500,11,11320,도봉구,레저스포츠,[지역] 서울특별시 [장소] 도봉튜빙눈썰매장 [카테고리] 관광지
서울특별시,해마루축구장,서울 양천구,관광지,24,202502,126.878548238569310,37.517967799733725,11,11470,양천구,문화관광,[지역] 서울특별시 [장소] 해마루축구장 [카테고리] 관광지
서울특별시,롯데시네마노원,서울 노원구 동일로 14140,관광지,24,202502,127.061206735056830,37.655044950513770,11,11350,노원구,문화관광,[지역] 서울특별시 [장소] 롯데시네마노원 [카테고리] 관광지
서울특별시,54번가호텔,서울 관악구 관악로17길 190,숙박,24,202502,126.950607267456000,37.480697505887000,11,11620,관악구,숙박,[지역] 서울특별시 [장소] 54번가호텔 [카테고리] 숙박
서울특별시,동북프라자,서울 강북구 솔샘로 2330,관광지,24,202502,127.018645683572800,37.620206833821390,11,11305,강북구,쇼핑,[지역] 서울특별시 [장소] 동북프라자 [카테고리] 관광지
서울특별시,퐁퐁플라워건대센터,서울 광진구 아차산로 2720,관광지,24,202502,127.073058232877000,37.538605500082300,11,11215,광진구,문화관광,[지역] 서울특별시 [장소] 퐁퐁플라워건대센터 [카테고리] 관광지
서울특별시,호텔가을,서울 서대문구 연세로2나길 130,숙박,24,202502,126.937959158874000,37.556713681172000,11,11410,서대문구,숙박,[지역] 서울특별시 [장소] 호텔가을 [카테고리] 숙박
서울특별시,금천뮤지컬센터,서울 금천구 시흥대로115길 480,관광지,24,202502,126.893875449191570,37.468920499924480,11,11545,금천구,문화관광,[지역] 서울특별시 [장소] 금천뮤지컬센터 [카테고리] 관광지
서울특별시,롯데시네마용산,서울 용산구 청파로 740,관광지,24,202502,126.959707423791490,37.532799913839930,11,11170,용산구,문화관광,[지역] 서울특별시 [장소] 롯데시네마용산 [카테고리] 관광지
서울특별시,코리아나호텔서울,서울 중구 세종대로 1350,숙박,24,202502,126.976594441805930,37.568184814329410,11,11140,중구,숙박,[지역] 서울특별시 [장소] 코리아나호텔서울 [카테고리] 숙박
서울특별시,솔호텔,서울 은평구 통일로65길 102,숙박,24,202502,126.930019176891160,37.609271047284054,11,11380,은평구,숙박,[지역] 서울특별시 [장소] 솔호텔 [카테고리] 숙박
서울특별시,강동야구장,서울 강동구,관광지,24,202502,127.165049638058600,37.567158332852920,11,11740,강동구,문화관광,[지역] 서울특별시 [장소] 강동야구장 [카테고리] 관광지
서울특별시,M호텔,서울 관악구 남부순환로 208227,숙박,25,202502,126.980838633124220,37.476135668938610,11,11620,관악구,숙박,[지역] 서울특별시 [장소] M호텔 [카테고리] 숙박
서울특별시,와우쇼핑몰,서울 노원구 노해로 5070,관광지,25,202502,127.063891240809000,37.655397488145000,11,11350,노원구,쇼핑,[지역] 서울특별시 [장소] 와우쇼핑몰 [카테고리] 관광지
서울특별시,환기미술관,서울 종로구 자하문로40길 630,관광지,25,202502,126.966126422517850,37.594117664685540,11,11110,종로구,문화관광,[지역] 서울특별시 [장소] 환기미술관 [카테고리] 관광지
서울특별시,CGV여의도,서울 영등포구 국제금융로 100,관광지,25,202502,126.925904999097060,37.525078377250930,11,11560,영등포구,문화관광,[지역] 서울특별시 [장소] CGV여의도 [카테고리] 관광지
서울특별시,키주파크금천독산점,서울 금천구 벚꽃로6길 210,관광지,25,202502,126.893353001630760,37.460863380020180,11,11545,금천구,문화관광,[지역] 서울특별시 [장소] 키주파크금천독산점 [카테고리] 관광지
서울특별시,증산종합시장,서울 은평구 증산로3길 120,관광지,25,202502,126.905017455419000,37.581460615980500,11,11380,은평구,쇼핑,[지역] 서울특별시 [장소] 증산종합시장 [카테고리] 관광지
서울특별시,제이베이호텔,서울 강북구 한천로140길 140,숙박,25,202502,127.027349500000000,37.640564600000000,11,11305,강북구,숙박,[지역] 서울특별시 [장소] 제이베이호텔 [카테고리] 숙박
서울특별시,월호텔,서울 서대문구 연세로2길 10110,숙박,25,202502,126.942514293533000,37.557630269785000,11,11410,서대문구,숙박,[지역] 서울특별시 [장소] 월호텔 [카테고리] 숙박
서울특별시,나비쇼핑몰,서울 강동구 천호대로157길 140,관광지,25,202502,127.127303335534000,37.538244770217300,11,11740,강동구,쇼핑,[지역] 서울특별시 [장소] 나비쇼핑몰 [카테고리] 관광지
서울특별시,동작구어린이영어놀이터,서울 동작구 동작대로9길 350,관광지,25,202502,126.979561830489730,37.480552365950050,11,11590,동작구,문화관광,[지역] 서울특별시 [장소] 동작구어린이영어놀이터 [카테고리] 관광지
서울특별시,롤퀸롤러장,서울 성북구 동소문로20나길 470,관광지,25,202502,127.019145905374000,37.593043313383700,11,11290,성북구,레저스포츠,[지역] 서울특별시 [장소] 롤퀸롤러장 [카테고리] 관광지
